Treatment_Number,Animal_ID,Condition_Type,Treatment_Date,Treatment_Time,Treatment_By,Treatment_Type,Treatment_Subtype,Number_of_Days,Weight,Temperature,Visit_Number,Visit_Type,Visit_Reason,Month,Year
T19-958257,A1062478,,04/05/2019,17:40:30.703000,,,,15,,,T19-958245,,,APR.2019,FY2019
T19-921996,A1059193,,02/25/2019,11:30:42.373000,,,,1,,,T19-921993,,,FEB.2019,FY2019
T19-946389,A1061870,,03/23/2019,17:05:15.833000,,MICROCHIP (24HR PET WATCH),,,,,T19-946388,,,MAR.2019,FY2019
T19-958300,A1042873,,04/05/2019,18:27:51.373000,,,,1,,,T19-958294,,,APR.2019,FY2019
T19-958236,A1063268,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,17:32:00,NG,,,,16.9,,T19-958236,INTAKE EXAM,,APR.2019,FY2019
T19-958281,A1063084,,04/05/2019,18:12:25.370000,,,,15,,,T19-958271,,,APR.2019,FY2019
T19-901039,A1057062,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/31/2019,22:26:00,,,,,42,,T19-901039,INTAKE EXAM,,JAN.2019,FY2019
T19-953065,A1062693,,03/30/2019,15:46:11.340000,,HEARTWORM TEST,NEGATIVE,,,,T19-953057,,,MAR.2019,FY2019
T19-901473,A1057062,,02/01/2019,11:48:52.597000,,MICROCHIP (24HR PET WATCH),,,,,T19-901472,,,FEB.2019,FY2019
T19-958276,A1063084,,04/05/2019,18:11:16.130000,,,,1,,,T19-958271,,,APR.2019,FY2019
T19-903391,A1057062,,02/04/2019,09:12:41.760000,,,,1,,,T19-903387,,,FEB.2019,FY2019
T19-901040,A1057062,,01/31/2019,22:26:47.183000,,,,1,,,T19-901039,,,JAN.2019,FY2019
T19-946402,A1059193,,03/23/2019,17:17:31.040000,,,,1,,,T19-946399,,,MAR.2019,FY2019
T19-956799,A1063044,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/03/2019,18:55:00,DT,,,,55.6,,T19-956799,MEDICAL REVIEW,,APR.2019,FY2019
T19-958285,A1063147,TREATABLE MANAGEABLE CONTAGIOUS,04/05/2019,16:00:00,DT,,,,61,,T19-958285,VET CHECK,,APR.2019,FY2019
T19-932574,A1057062,,03/08/2019,15:56:00.703000,,,,1,,,T19-932572,,,MAR.2019,FY2019
T19-953059,A1062693,,03/30/2019,15:45:35.630000,,,,1,,,T19-953057,,,MAR.2019,FY2019
T19-901043,A1057062,,01/31/2019,22:27:15.017000,,,,1,,,T19-901039,,,JAN.2019,FY2019
T19-901476,A1057062,,02/01/2019,11:49:01.043000,,,,1,,,T19-901472,,,FEB.2019,FY2019
T19-903390,A1057062,,02/04/2019,09:12:34.647000,,,,1,,,T19-903387,,,FEB.2019,FY2019
T19-921995,A1059193,,02/25/2019,11:30:35.960000,,,,1,,,T19-921993,,,FEB.2019,FY2019
T19-920263,A1059193,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,02/22/2019,18:49:00,NG/IT,,,,50,,T19-920263,INTAKE EXAM,BEHAVIORAL,FEB.2019,FY2019
T19-946403,A1059193,UNKNOWN,03/23/2019,17:13:00,,,,,49.2,,T19-946403,VET CHECK,,MAR.2019,FY2019
T19-903387,A1057062,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/04/2019,09:11:00,VL,,,,54,,T19-903387,SURGERY-,,FEB.2019,FY2019
T19-958269,A1063044,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,17:56:00,DT,,,,55.6,,T19-958269,VET CHECK,,APR.2019,FY2019
T19-946399,A1059193,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/23/2019,17:13:00,NG,,,,49.2,,T19-946399,INTAKE EXAM,,MAR.2019,FY2019
T19-932573,A1057062,,03/08/2019,15:55:53.640000,,,,1,,,T19-932572,,,MAR.2019,FY2019
T18-788462,A1034994,TREATABLE REHABILITABLE NON-CONTAGIOUS,10/09/2018,11:43:00,LS,,,,,,T18-788462,EXAM - ADOPTION,,OCT.2018,FY2019
T18-788189,A1034994,,10/08/2018,22:33:50.523000,,,,1,,,T18-788185,,,OCT.2018,FY2019
T18-788188,A1034994,,10/08/2018,22:33:44.487000,,,,1,,,T18-788185,,,OCT.2018,FY2019
T19-958243,A1063268,,04/05/2019,17:34:00.017000,,,,1,,,T19-958236,,,APR.2019,FY2019
T18-788465,A1034994,,10/09/2018,11:44:54.440000,,HEARTWORM TEST,NEGATIVE,,,,T18-788462,,,OCT.2018,FY2019
T19-958273,A1063084,,04/05/2019,18:10:20.093000,,,,1,,,T19-958271,,,APR.2019,FY2019
T19-956599,A1062478,TREATABLE MANAGEABLE NON-CONTAGIOUS,04/03/2019,17:28:00,DT,,,,,,T19-956599,MEDICAL REVIEW,,APR.2019,FY2019
T19-920267,A1059193,,02/22/2019,18:50:33.893000,,,,1,,,T19-920263,,,FEB.2019,FY2019
T19-953064,A1062693,,03/30/2019,15:46:02.667000,,MICROCHIP (24HR PET WATCH),,,,,T19-953057,,,MAR.2019,FY2019
T19-901475,A1057062,,02/01/2019,11:48:56.913000,,,,1,,,T19-901472,,,FEB.2019,FY2019
T19-953063,A1062693,,03/30/2019,15:45:58.370000,,,,1,,,T19-953057,,,MAR.2019,FY2019
T19-920570,A1059193,,02/23/2019,11:52:13.667000,,,,1,,,T19-920569,,,FEB.2019,FY2019
T19-903388,A1057062,,02/04/2019,09:12:18.130000,,,,1,,,T19-903387,,,FEB.2019,FY2019
T19-930507,A1059193,TREATABLE REHABILITABLE CONTAGIOUS,03/06/2019,12:26:00,AG,,,,,,T19-930507,VET CHECK,,MAR.2019,FY2019
T19-958267,A1063044,,04/05/2019,17:57:51.940000,,,,1,,,T19-958266,,,APR.2019,FY2019
T19-920264,A1059193,,02/22/2019,18:50:11.463000,,,,1,,,T19-920263,,,FEB.2019,FY2019
T19-922000,A1059193,,02/25/2019,11:30:59.640000,,,,1,,,T19-921993,,,FEB.2019,FY2019
T19-953058,A1062693,,03/30/2019,15:45:32.107000,,,,1,,,T19-953057,,,MAR.2019,FY2019
T19-953057,A1062693,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/30/2019,15:44:00,LS,,,,73,,T19-953057,EXAM - ADOPTION,,MAR.2019,FY2019
T19-901474,A1057062,,02/01/2019,11:48:54.993000,,HEARTWORM TEST,NEGATIVE,,,,T19-901472,,,FEB.2019,FY2019
T19-920569,A1059193,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/23/2019,11:51:00,LS,,,,56.8,,T19-920569,EXAM - ADOPTION,,FEB.2019,FY2019
T19-953060,A1062693,,03/30/2019,15:45:39.720000,,,,1,,,T19-953057,,,MAR.2019,FY2019
T19-946400,A1059193,,03/23/2019,17:17:02.750000,,HEARTWORM TEST,NEGATIVE,,,,T19-946399,,,MAR.2019,FY2019
T19-933944,A1057062,,03/10/2019,15:28:54.123000,,,,1,,,T19-933942,,,MAR.2019,FY2019
T19-958280,A1063084,,04/05/2019,18:12:13.593000,,,,15,,,T19-958271,,,APR.2019,FY2019
T19-958265,A1062943,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,14:00:00,DT,,,,9.2,,T19-958265,EXAM-VET,,APR.2019,FY2019
T18-788186,A1034994,,10/08/2018,22:33:23.620000,,,,1,,,T18-788185,,,OCT.2018,FY2019
T19-946388,A1061870,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/23/2019,17:04:00,ER,,,,52.6,,T19-946388,INTAKE EXAM,,MAR.2019,FY2019
T19-903389,A1057062,,02/04/2019,09:12:28.080000,,,,1,,,T19-903387,,,FEB.2019,FY2019
T19-958254,A1062478,,04/05/2019,17:39:55.730000,,,,1,,,T19-958245,,,APR.2019,FY2019
T19-946391,A1061870,,03/23/2019,17:05:20.260000,,,,1,,,T19-946388,,,MAR.2019,FY2019
T19-920265,A1059193,,02/22/2019,18:50:17.920000,,,,1,,,T19-920263,,,FEB.2019,FY2019
T19-958261,A1063163,TREATABLE MANAGEABLE NON-CONTAGIOUS,04/05/2019,13:30:00,DT,,,,43.6,,T19-958261,EXAM-VET,,APR.2019,FY2019
T19-921997,A1059193,,02/25/2019,11:30:49.273000,,,,1,,,T19-921993,,,FEB.2019,FY2019
T19-932575,A1057062,,03/08/2019,15:56:07.457000,,,,1,,,T19-932572,,,MAR.2019,FY2019
T19-958297,A1042873,,04/05/2019,18:27:42.200000,,,,1,,,T19-958294,,,APR.2019,FY2019
T18-788185,A1034994,TREATABLE REHABILITABLE NON-CONTAGIOUS,10/08/2018,22:32:00,CS1750,,,,35,,T18-788185,INTAKE EXAM,,OCT.2018,FY2019
T19-953062,A1062693,,03/30/2019,15:45:51.620000,,,,1,,,T19-953057,,,MAR.2019,FY2019
T19-944650,A1059193,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/22/2019,10:26:00,NG,,,,,,T19-944650,EXAM-VISUAL,,MAR.2019,FY2019
T18-788187,A1034994,,10/08/2018,22:33:32.620000,,,,1,,,T18-788185,,,OCT.2018,FY2019
T19-958283,A1063084,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:06:00,AG/LV,,,,47.2,,T19-958283,SURGICAL CONSULT,TRAUMA,APR.2019,FY2019
T19-901472,A1057062,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/01/2019,11:48:00,ER,,,,42,,T19-901472,EXAM - ADOPTION,,FEB.2019,FY2019
T19-958270,A1063160,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,04/05/2019,14:00:00,,,,,63,,T19-958270,EXAM-VET,,APR.2019,FY2019
T19-901041,A1057062,,01/31/2019,22:26:52.813000,,,,1,,,T19-901039,,,JAN.2019,FY2019
T19-920572,A1059193,,02/23/2019,11:52:24.507000,,HEARTWORM TEST,NEGATIVE,,,,T19-920569,,,FEB.2019,FY2019
T19-901042,A1057062,,01/31/2019,22:26:59.183000,,,,1,,,T19-901039,,,JAN.2019,FY2019
T18-788463,A1034994,,10/09/2018,11:44:39.810000,,,,1,,,T18-788462,,,OCT.2018,FY2019
T19-903392,A1057062,,02/04/2019,09:12:50.257000,,,,3,,,T19-903387,,,FEB.2019,FY2019
T19-932576,A1057062,,03/08/2019,15:56:14.657000,,HEARTWORM TEST,NEGATIVE,,,,T19-932572,,,MAR.2019,FY2019
T19-933942,A1057062,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/10/2019,15:28:00,OB,,,,50.6,,T19-933942,INTAKE EXAM,,MAR.2019,FY2019
T19-932572,A1057062,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/08/2019,15:54:00,LV,,,,50.2,,T19-932572,INTAKE EXAM,,MAR.2019,FY2019
T19-953061,A1062693,,03/30/2019,15:45:45.583000,,,,1,,,T19-953057,,,MAR.2019,FY2019
T18-788464,A1034994,,10/09/2018,11:44:47.530000,,,,1,,,T18-788462,,,OCT.2018,FY2019
T19-958294,A1042873,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:26:00,LV,,,,9.6,,T19-958294,INTAKE EXAM,,APR.2019,FY2019
T19-958284,A1063084,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:06:00,DT,,,,47.2,,T19-958284,MEDICAL REVIEW,TRAUMA,APR.2019,FY2019
T19-958260,A0934142,,04/05/2019,17:41:10.997000,,,,1,,,T19-958256,,,APR.2019,FY2019
T19-958253,A1062478,,04/05/2019,17:39:02.553000,,,,1,,,T19-958245,,,APR.2019,FY2019
T19-958272,A1063084,,04/05/2019,18:07:58.350000,,X-RAY,,,,,T19-958271,,,APR.2019,FY2019
T19-958275,A1063084,,04/05/2019,18:11:05.850000,,,,1,,,T19-958271,,,APR.2019,FY2019
T19-958241,A1063268,,04/05/2019,17:33:53.580000,,,,1,,,T19-958236,,,APR.2019,FY2019
T19-958296,A1042873,,04/05/2019,18:27:39.650000,,,,1,,,T19-958294,,,APR.2019,FY2019
T19-958242,A1063268,,04/05/2019,17:33:56.127000,,,,1,,,T19-958236,,,APR.2019,FY2019
T19-958271,A1063084,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:06:00,DT,,,,47.2,,T19-958271,EXAM-VET,TRAUMA,APR.2019,FY2019
T19-958299,A1042873,,04/05/2019,18:27:47.467000,,,,1,,,T19-958294,,,APR.2019,FY2019
T19-958255,A1062478,,04/05/2019,17:40:18.820000,,,,15,,,T19-958245,,,APR.2019,FY2019
T19-958245,A1062478,TREATABLE MANAGEABLE NON-CONTAGIOUS,04/05/2019,14:00:00,DT,,,,46.6,,T19-958245,EXAM-VET,,APR.2019,FY2019
T19-958277,A1063084,,04/05/2019,18:11:28.403000,,,,1,,,T19-958271,,,APR.2019,FY2019
T18-867877,A1053378,TREATABLE REHABILITABLE NON-CONTAGIOUS,12/27/2018,19:25:00,AG2,,,,65,,T18-867877,INTAKE EXAM,,DEC.2018,FY2019
T19-935568,A1047225,,03/12/2019,09:53:59.540000,,,,1,,,T19-935566,,,MAR.2019,FY2019
T19-958268,A1063044,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,17:56:00,DT,,,,55.6,,T19-958268,VET CHECK,,APR.2019,FY2019
T19-958274,A1063084,,04/05/2019,18:10:54.530000,,,,1,,,T19-958271,,,APR.2019,FY2019
T19-953157,A1034994,,03/30/2019,16:51:39.367000,,,,1,,,T19-953154,,,MAR.2019,FY2019
T19-953179,A1062655,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/30/2019,16:55:00,LS,,,,67.8,,T19-953179,EXAM - ADOPTION,,MAR.2019,FY2019
T19-953171,A1034994,UNKNOWN,03/30/2019,16:46:00,ER,,,,43,,T19-953171,MEDICAL REVIEW,,MAR.2019,FY2019
T18-867883,A1053378,,12/27/2018,19:26:59.870000,,,,1,,,T18-867877,,,DEC.2018,FY2019
T19-953156,A1034994,,03/30/2019,16:51:35.007000,,,,1,,,T19-953154,,,MAR.2019,FY2019
T19-953181,A1062655,,03/30/2019,16:56:50.517000,,,,1,,,T19-953179,,,MAR.2019,FY2019
T18-867885,A1053378,,12/27/2018,19:27:09.407000,,MICROCHIP (24HR PET WATCH),,,,,T18-867877,,,DEC.2018,FY2019
T19-953221,A1062660,,03/30/2019,17:14:00.783000,,MICROCHIP (24HR PET WATCH),,,,,T19-953214,,,MAR.2019,FY2019
T19-958305,A1063221,,04/05/2019,18:30:21.223000,,,,1,,,T19-958301,,,APR.2019,FY2019
T19-958312,A1063222,,04/05/2019,18:30:57.087000,,,,1,,,T19-958308,,,APR.2019,FY2019
T19-953180,A1062655,,03/30/2019,16:56:46.547000,,,,1,,,T19-953179,,,MAR.2019,FY2019
T19-958314,A1063222,,04/05/2019,18:31:03.903000,,,,1,,,T19-958308,,,APR.2019,FY2019
T19-953186,A1062655,,03/30/2019,16:57:26.533000,,HEARTWORM TEST,HIGH POSITIVE,,,,T19-953179,,,MAR.2019,FY2019
T19-953160,A1034994,,03/30/2019,16:51:51.740000,,,,1,,,T19-953154,,,MAR.2019,FY2019
T19-874006,A1053378,,01/05/2019,10:36:13.290000,,,,1,,,T19-874001,,,JAN.2019,FY2019
T19-958321,A1063224,,04/05/2019,18:31:37.517000,,,,1,,,T19-958315,,,APR.2019,FY2019
T19-874008,A1053378,,01/05/2019,10:36:29.537000,,,,3,,,T19-874001,,,JAN.2019,FY2019
T19-958320,A1063224,,04/05/2019,18:31:33.417000,,,,1,,,T19-958315,,,APR.2019,FY2019
T19-958334,A1063226,,04/05/2019,18:32:40.283000,,,,1,,,T19-958330,,,APR.2019,FY2019
T19-958301,A1063221,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:29:00,NG,,,,8.9,,T19-958301,INTAKE EXAM,,APR.2019,FY2019
T19-958324,A1063225,,04/05/2019,18:31:57.913000,,,,1,,,T19-958322,,,APR.2019,FY2019
T19-958307,A1063221,,04/05/2019,18:30:31.497000,,,,1,,,T19-958301,,,APR.2019,FY2019
T19-958330,A1063226,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:29:00,NG,,,,9.3,,T19-958330,INTAKE EXAM,,APR.2019,FY2019
T19-958333,A1063226,,04/05/2019,18:32:37.443000,,,,1,,,T19-958330,,,APR.2019,FY2019
T19-958322,A1063225,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:29:00,NG,,,,10.1,,T19-958322,INTAKE EXAM,,APR.2019,FY2019
T19-958304,A1063221,,04/05/2019,18:30:18.320000,,,,1,,,T19-958301,,,APR.2019,FY2019
T19-953154,A1034994,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/30/2019,16:46:00,ER,,,,43,,T19-953154,INTAKE EXAM,,MAR.2019,FY2019
T19-874001,A1053378,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/05/2019,10:34:00,PA,,,,73,,T19-874001,SURGERY-,,JAN.2019,FY2019
T19-958332,A1063226,,04/05/2019,18:32:33.083000,,,,1,,,T19-958330,,,APR.2019,FY2019
T19-953183,A1062655,,03/30/2019,16:56:59.263000,,,,1,,,T19-953179,,,MAR.2019,FY2019
T19-958309,A1063222,,04/05/2019,18:30:47.480000,,MICROCHIP (24HR PET WATCH),,,,,T19-958308,,,APR.2019,FY2019
T19-953145,A1057062,,03/30/2019,16:46:26.677000,,,,1,,,T19-953144,,,MAR.2019,FY2019
T19-958316,A1063224,,04/05/2019,18:31:22.933000,,MICROCHIP (24HR PET WATCH),,,,,T19-958315,,,APR.2019,FY2019
T19-958308,A1063222,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:29:00,NG,,,,8.9,,T19-958308,INTAKE EXAM,,APR.2019,FY2019
T18-867881,A1053378,,12/27/2018,19:26:50.517000,,,,1,,,T18-867877,,,DEC.2018,FY2019
T19-958311,A1063222,,04/05/2019,18:30:52.983000,,,,1,,,T19-958308,,,APR.2019,FY2019
T19-958313,A1063222,,04/05/2019,18:30:59.663000,,,,1,,,T19-958308,,,APR.2019,FY2019
T19-958303,A1063221,,04/05/2019,18:30:15.717000,,,,1,,,T19-958301,,,APR.2019,FY2019
T19-953217,A1062660,,03/30/2019,17:13:35.010000,,,,1,,,T19-953214,,,MAR.2019,FY2019
T19-953144,A1057062,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/30/2019,16:41:00,ER,,,,52.6,,T19-953144,INTAKE EXAM,,MAR.2019,FY2019
T19-958302,A1063221,,04/05/2019,18:30:12.953000,,MICROCHIP (24HR PET WATCH),,,,,T19-958301,,,APR.2019,FY2019
T19-958331,A1063226,,04/05/2019,18:32:30.547000,,MICROCHIP (24HR PET WATCH),,,,,T19-958330,,,APR.2019,FY2019
T19-935566,A1047225,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/12/2019,09:48:00,OB,,,,,,T19-935566,EXAM-VISUAL,BEHAVIORAL,MAR.2019,FY2019
T19-874007,A1053378,,01/05/2019,10:36:22.810000,,,,1,,,T19-874001,,,JAN.2019,FY2019
T19-958315,A1063224,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,18:29:00,NG,,,,9.4,,T19-958315,INTAKE EXAM,,APR.2019,FY2019
T19-953170,A1034994,,03/30/2019,16:52:48.680000,,,,3,,,T19-953154,,,MAR.2019,FY2019
T18-867884,A1053378,,12/27/2018,19:27:05.183000,,HEARTWORM TEST,NEGATIVE,,,,T18-867877,,,DEC.2018,FY2019
T19-953222,A1062660,,03/30/2019,17:14:25.760000,,HEARTWORM TEST,NEGATIVE,,,,T19-953214,,,MAR.2019,FY2019
T19-958325,A1063225,,04/05/2019,18:32:00.413000,,,,1,,,T19-958322,,,APR.2019,FY2019
T19-874004,A1053378,,01/05/2019,10:35:25.507000,,,,1,,,T19-874001,,,JAN.2019,FY2019
T19-958310,A1063222,,04/05/2019,18:30:50.047000,,,,1,,,T19-958308,,,APR.2019,FY2019
T19-958328,A1063225,,04/05/2019,18:32:11.853000,,,,1,,,T19-958322,,,APR.2019,FY2019
T19-958323,A1063225,,04/05/2019,18:31:54.270000,,MICROCHIP (24HR PET WATCH),,,,,T19-958322,,,APR.2019,FY2019
T19-958327,A1063225,,04/05/2019,18:32:08.757000,,,,1,,,T19-958322,,,APR.2019,FY2019
T19-958326,A1063225,,04/05/2019,18:32:03.123000,,,,1,,,T19-958322,,,APR.2019,FY2019
T19-958306,A1063221,,04/05/2019,18:30:24.720000,,,,1,,,T19-958301,,,APR.2019,FY2019
T19-953184,A1062655,,03/30/2019,16:57:07.160000,,,,1,,,T19-953179,,,MAR.2019,FY2019
T18-867878,A1053378,,12/27/2018,19:26:37.187000,,,,1,,,T18-867877,,,DEC.2018,FY2019
T19-953185,A1062655,,03/30/2019,16:57:14.693000,,,,1,,,T19-953179,,,MAR.2019,FY2019
T19-953187,A1062655,,03/30/2019,16:57:29.743000,,MICROCHIP (24HR PET WATCH),,,,,T19-953179,,,MAR.2019,FY2019
T19-958317,A1063224,,04/05/2019,18:31:25.630000,,,,1,,,T19-958315,,,APR.2019,FY2019
T19-958335,A1063226,,04/05/2019,18:32:42.837000,,,,1,,,T19-958330,,,APR.2019,FY2019
T19-953214,A1062660,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/30/2019,17:12:00,LS,,,,48,,T19-953214,EXAM - ADOPTION,,MAR.2019,FY2019
T19-953159,A1034994,,03/30/2019,16:51:46.640000,,,,1,,,T19-953154,,,MAR.2019,FY2019
T19-958336,A1063226,,04/05/2019,18:32:46.660000,,,,1,,,T19-958330,,,APR.2019,FY2019
T19-953215,A1062660,,03/30/2019,17:13:26.690000,,,,1,,,T19-953214,,,MAR.2019,FY2019
T19-958319,A1063224,,04/05/2019,18:31:30.967000,,,,1,,,T19-958315,,,APR.2019,FY2019
T18-867882,A1053378,,12/27/2018,19:26:55.433000,,,,1,,,T18-867877,,,DEC.2018,FY2019
T19-958318,A1063224,,04/05/2019,18:31:28.173000,,,,1,,,T19-958315,,,APR.2019,FY2019
T18-867879,A1053378,,12/27/2018,19:26:40.650000,,,,1,,,T18-867877,,,DEC.2018,FY2019
T19-958397,A1063214,,04/05/2019,19:49:15.553000,,,,1,,,T19-958391,,,APR.2019,FY2019
T19-958447,A1063200,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,20:26:00,LV,,,,7,,T19-958447,VET CHECK,,APR.2019,FY2019
T19-874005,A1053378,,01/05/2019,10:35:30.793000,,,,1,,,T19-874001,,,JAN.2019,FY2019
T19-958359,A1063213,,04/05/2019,19:32:31.983000,,HEARTWORM TEST,NEGATIVE,,,,T19-958358,,,APR.2019,FY2019
T19-953182,A1062655,,03/30/2019,16:56:53.600000,,,,1,,,T19-953179,,,MAR.2019,FY2019
T19-958382,A0953849,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,19:37:00,LV,,,,53.2,,T19-958382,INTAKE EXAM,,APR.2019,FY2019
T19-958450,A1063198,,04/05/2019,20:29:16.853000,,HEARTWORM TEST,NEGATIVE,,,,T19-958448,,,APR.2019,FY2019
T19-958400,A1063220,,04/05/2019,20:01:51.183000,,,,1,,,T19-958398,,,APR.2019,FY2019
T19-958441,A1063200,,04/05/2019,20:27:17.377000,,MICROCHIP (24HR PET WATCH),,,,,T19-958439,,,APR.2019,FY2019
T19-958443,A1063200,,04/05/2019,20:27:27.593000,,,,1,,,T19-958439,,,APR.2019,FY2019
T19-958445,A1063200,,04/05/2019,20:27:40.947000,,,,1,,,T19-958439,,,APR.2019,FY2019
T19-958392,A1063214,,04/05/2019,19:48:00.417000,,,,1,,,T19-958391,,,APR.2019,FY2019
T18-867880,A1053378,,12/27/2018,19:26:43.713000,,,,1,,,T18-867877,,,DEC.2018,FY2019
T19-958360,A1063213,,04/05/2019,19:32:35.687000,,MICROCHIP (24HR PET WATCH),,,,,T19-958358,,,APR.2019,FY2019
T19-958454,A1063198,,04/05/2019,20:29:42.730000,,,,1,,,T19-958448,,,APR.2019,FY2019
T19-953158,A1034994,,03/30/2019,16:51:42.950000,,,,1,,,T19-953154,,,MAR.2019,FY2019
T19-958403,A1063220,,04/05/2019,20:02:13.347000,,,,1,,,T19-958398,,,APR.2019,FY2019
T19-953218,A1062660,,03/30/2019,17:13:39.937000,,,,1,,,T19-953214,,,MAR.2019,FY2019
T19-958405,A1063261,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,20:03:00,LV,,,,42.4,,T19-958405,INTAKE EXAM,BEHAVIORAL,APR.2019,FY2019
T19-958399,A1063220,,04/05/2019,20:01:43.790000,,,,1,,,T19-958398,,,APR.2019,FY2019
T19-958363,A1063213,,04/05/2019,19:32:50.490000,,,,1,,,T19-958358,,,APR.2019,FY2019
T19-958444,A1063200,,04/05/2019,20:27:35.293000,,,,1,,,T19-958439,,,APR.2019,FY2019
T19-953155,A1034994,,03/30/2019,16:51:27.160000,,HEARTWORM TEST,NEGATIVE,,,,T19-953154,,,MAR.2019,FY2019
T19-958393,A1063214,,04/05/2019,19:48:07.607000,,,,1,,,T19-958391,,,APR.2019,FY2019
T19-958440,A1063200,,04/05/2019,20:27:14.127000,,HEARTWORM TEST,NEGATIVE,,,,T19-958439,,,APR.2019,FY2019
T19-958366,A1063213,,04/05/2019,19:33:23.147000,,,,1,,,T19-958358,,,APR.2019,FY2019
T19-958407,A1063261,,04/05/2019,20:04:28.193000,,,,1,,,T19-958405,,,APR.2019,FY2019
T19-958367,A1063213,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,19:30:00,LV,,,,31.2,,T19-958367,VET CHECK,,APR.2019,FY2019
T19-958442,A1063200,,04/05/2019,20:27:21.780000,,,,1,,,T19-958439,,,APR.2019,FY2019
T19-958383,A0953849,,04/05/2019,19:43:08.647000,,HEARTWORM TEST,NEGATIVE,,,,T19-958382,,,APR.2019,FY2019
T19-958406,A1063261,,04/05/2019,20:04:20.300000,,,,1,,,T19-958405,,,APR.2019,FY2019
T19-958395,A1063214,,04/05/2019,19:48:23.103000,,,,1,,,T19-958391,,,APR.2019,FY2019
T19-958451,A1063198,,04/05/2019,20:29:22.077000,,,,1,,,T19-958448,,,APR.2019,FY2019
T19-958402,A1063220,,04/05/2019,20:02:03.113000,,,,1,,,T19-958398,,,APR.2019,FY2019
T19-958448,A1063198,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/05/2019,20:26:00,LV,,,,11.5,,T19-958448,INTAKE EXAM,,APR.2019,FY2019
T19-958455,A1063198,,04/05/2019,20:29:47.877000,,,,1,,,T19-958448,,,APR.2019,FY2019
T19-946549,A1061980,,03/23/2019,19:36:57.467000,,,,1,,,T19-946547,,,MAR.2019,FY2019
T19-958396,A1063214,,04/05/2019,19:48:33.313000,,HEARTWORM TEST,NEGATIVE,,,,T19-958391,,,APR.2019,FY2019
T19-958408,A1063261,,04/05/2019,20:04:39.940000,,,,1,,,T19-958405,,,APR.2019,FY2019
T19-958446,A1063200,,04/05/2019,20:27:44.993000,,,,1,,,T19-958439,,,APR.2019,FY2019
T19-958362,A1063213,,04/05/2019,19:32:42.810000,,,,1,,,T19-958358,,,APR.2019,FY2019
T19-946550,A1061980,,03/23/2019,19:37:12.147000,,,,1,,,T19-946547,,,MAR.2019,FY2019
T19-946547,A1061980,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/23/2019,19:31:00,RV1213,,,,41,,T19-946547,INTAKE EXAM,,MAR.2019,FY2019
T19-946548,A1061980,,03/23/2019,19:36:53.763000,,,,1,,,T19-946547,,,MAR.2019,FY2019
T19-958449,A1063198,,04/05/2019,20:29:07.640000,,MICROCHIP (24HR PET WATCH),,,,,T19-958448,,,APR.2019,FY2019
T19-958453,A1063198,,04/05/2019,20:29:38.350000,,,,1,,,T19-958448,,,APR.2019,FY2019
