Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-768243,A1042387,,9/19/2018,12:54.0,,,,1,,,T18-768241,,,SEP.2018,FY2018
T18-749282,A1042111,,9/1/2018,23:30.8,,MICROCHIP (HOME AGAIN),,,,,T18-749281,,,SEP.2018,FY2018
T18-777105,A1042474,,9/27/2018,31:08.9,,MICROCHIP (24HR PET WATCH),,,,,T18-777100,,,SEP.2018,FY2018
T18-777111,A1041626,,9/27/2018,38:07.6,,,,1,,,T18-777110,,,SEP.2018,FY2018
T18-736221,A1041091,TREATABLE REHABILITABLE CONTAGIOUS,8/21/2018,11:59:00,SR,,,,1,,T18-736221,MEDICAL REVIEW,RESPIRATORY,AUG.2018,FY2018
T18-771597,A1044278,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:47:00,NG/SR/ER,,,,11.2,,T18-771597,INTAKE EXAM,,SEP.2018,FY2018
T18-779747,A1045009,,9/29/2018,23:14.2,,,,1,,,T18-779743,,,SEP.2018,FY2018
T18-775940,A1038116,,9/26/2018,43:49.7,,,,1,,,T18-775927,,,SEP.2018,FY2018
T18-780131,A1045026,,9/30/2018,14:42.5,,HEARTWORM TEST,NEGATIVE,,,,T18-780128,,,SEP.2018,FY2018
T18-770944,A1042967,TREATABLE REHABILITABLE CONTAGIOUS,9/21/2018,12:03:00,AG,,,,,,T18-770944,MEDICAL REVIEW,,SEP.2018,FY2018
T18-775179,A1044638,,9/25/2018,35:25.5,,,,1,,,T18-775175,,,SEP.2018,FY2018
T17-460110,A1012711,TREATABLE REHABILITABLE NON-CONTAGIOUS,10/31/2017,12:19:00,SR.ER.AV,,,,,,T17-460110,EXAM - ADOPTION,,OCT.2017,FY2018
T18-779759,A1044975,,9/29/2018,28:47.4,,HEARTWORM TEST,NEGATIVE,,,,T18-779755,,,SEP.2018,FY2018
T18-777601,A1044816,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:07:00,,,,,5,,T18-777601,INTAKE EXAM,,SEP.2018,FY2018
T18-748305,A1042057,,9/1/2018,24:27.6,,,,1,,,T18-748304,,,SEP.2018,FY2018
T18-778886,A1044815,UNKNOWN,9/27/2018,16:56:00,NG,,,,,,T18-778886,VET CHECK,,SEP.2018,FY2018
T18-765895,A1043787,,9/18/2018,25:55.1,,,,1,,,T18-765888,,,SEP.2018,FY2018
T18-776681,A1044766,,9/27/2018,56:52.1,,,,1,,,T18-776678,,,SEP.2018,FY2018
T18-771517,A1044282,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:25:00,,,,,,,T18-771517,INTAKE EXAM,,SEP.2018,FY2018
T18-776360,A1044673,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,18:24:00,NG,,,,20.6,,T18-776360,EXAM - ADOPTION,,SEP.2018,FY2018
T18-775588,A1042564,,9/26/2018,39:25.9,,,,1,,,T18-775577,,,SEP.2018,FY2018
T18-542031,A0867191,UNKNOWN,2/10/2018,8:35:00,,,,,,,T18-542031,HEALTH MAINTENANCE,,FEB.2018,FY2018
T18-770192,A1043799,,9/21/2018,25:28.8,,,,1,,,T18-770191,,,SEP.2018,FY2018
T18-633600,A1030839,,5/23/2018,26:51.8,,,,1,,,T18-633595,,,MAY.2018,FY2018
T18-778755,A1042492,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,16:45:00,AG2/ER,,,,,,T18-778755,EXAM,,SEP.2018,FY2018
T18-765439,A1042267,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/17/2018,15:32:00,SR,,,,,,T18-765439,EXAM,,SEP.2018,FY2018
T18-766590,A1043853,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,14:37:00,,,,,,,T18-766590,INTAKE EXAM,,SEP.2018,FY2018
T18-751120,A1042111,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/4/2018,12:12:00,LS,,,,,,T18-751120,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-771271,A1043329,,9/22/2018,59:12.0,,,,3,,,T18-771263,,,SEP.2018,FY2018
T18-778685,A1044880,UNKNOWN,9/28/2018,15:49:00,,,,,,,T18-778685,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-777882,A1043197,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,9:31:00,,,,,,,T18-777882,EXAM-VET,EYE,SEP.2018,FY2018
T18-767955,A1042355,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,14:59:00,,,,,,,T18-767955,EXAM-VET,,SEP.2018,FY2018
T18-778704,A1044905,,9/28/2018,12:24.3,,,,1,,,T18-778702,,,SEP.2018,FY2018
T18-750743,A1042277,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,9/3/2018,16:25:00,,,,,,,T18-750743,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-758940,A1043018,UNKNOWN,9/11/2018,14:20:00,,,,,,,T18-758940,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-778614,A1044785,,9/28/2018,11:53.4,,MICROCHIP (24HR PET WATCH),,,,,T18-778613,,,SEP.2018,FY2018
T18-778543,A1044140,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,14:48:00,AG2.ER.NG,,,,,,T18-778543,EXAM,,SEP.2018,FY2018
T18-780460,A1041560,,9/30/2018,54:20.0,,,,1,,,T18-780459,,,SEP.2018,FY2018
T18-777383,A1044822,,9/27/2018,06:55.6,,,,1,,,T18-777379,,,SEP.2018,FY2018
T18-766584,A1043852,UNKNOWN,9/18/2018,14:35:00,,,,,,,T18-766584,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-780614,A1045116,,9/30/2018,14:14.1,,,,1,,,T18-780605,,,SEP.2018,FY2018
T18-768998,A1044041,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/20/2018,12:30:00,LV/OB,,,,7,,T18-768998,EXAM - ADOPTION,,SEP.2018,FY2018
T18-779300,A1044583,,9/29/2018,04:49.9,,,,1,,,T18-779294,,,SEP.2018,FY2018
T18-780294,A1044882,,9/30/2018,47:26.3,,,,1,,,T18-780291,,,SEP.2018,FY2018
T18-778847,A1043895,,9/28/2018,31:03.9,,,,14,,,T18-778845,,,SEP.2018,FY2018
T18-780177,A1045060,,9/30/2018,44:01.9,,MICROCHIP (24HR PET WATCH),,,,,T18-780176,,,SEP.2018,FY2018
T18-769532,A1044115,,9/20/2018,31:15.0,,,,1,,,T18-769528,,,SEP.2018,FY2018
T18-770819,A1043197,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,13:19:00,,,,,,,T18-770819,MEDICAL REVIEW,,SEP.2018,FY2018
T18-771936,A1044306,,9/22/2018,14:26.5,,,,1,,,T18-771934,,,SEP.2018,FY2018
T18-762621,A1043418,,9/14/2018,07:38.0,,HEARTWORM TEST,NEGATIVE,,,,T18-762619,,,SEP.2018,FY2018
T18-623277,A1029751,,5/14/2018,25:38.7,,MICROCHIP (HOME AGAIN),,,,,T18-623266,,,MAY.2018,FY2018
T18-776430,A1044585,,9/25/2018,28:13.6,,,,14,,,T18-774213,,,SEP.2018,FY2018
T18-761847,A1043245,,9/13/2018,42:49.5,,HEARTWORM TEST,NEGATIVE,,,,T18-761844,,,SEP.2018,FY2018
T18-772420,A1044347,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,1:32:00,TM1736,,,,55,,T18-772420,INTAKE EXAM,,SEP.2018,FY2018
T18-627257,A1029973,TREATABLE MANAGEABLE NON-CONTAGIOUS,5/17/2018,16:36:00,,,,,,,T18-627257,SURGERY-,,MAY.2018,FY2018
T18-579155,A1024911,TREATABLE REHABILITABLE NON-CONTAGIOUS,3/24/2018,16:03:00,LV,,,,18,,T18-579155,HEALTH MAINTENANCE,,MAR.2018,FY2018
T18-773457,A1044242,,9/21/2018,54:45.9,,,,1,,,T18-773456,,,SEP.2018,FY2018
T18-769088,A1044038,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/20/2018,12:59:00,LV/OB,,,,8.9,,T18-769088,EXAM - ADOPTION,,SEP.2018,FY2018
T18-772443,A1044369,,9/23/2018,20:35.6,,,,1,,,T18-772440,,,SEP.2018,FY2018
T18-553657,A0998346,TREATABLE REHABILITABLE NON-CONTAGIOUS,2/24/2018,12:10:00,LV,,,,9.6,,T18-553657,HEALTH MAINTENANCE,,FEB.2018,FY2018
T18-779401,A1044979,,9/29/2018,34:48.9,,MICROCHIP (24HR PET WATCH),,,,,T18-779400,,,SEP.2018,FY2018
T18-777112,A1041626,,9/27/2018,38:13.4,,,,1,,,T18-777110,,,SEP.2018,FY2018
T18-779324,A1044989,,9/29/2018,12:54.8,,,,1,,,T18-779318,,,SEP.2018,FY2018
T18-741922,A1041514,UNKNOWN,8/25/2018,17:54:00,,,,,,,T18-741922,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-771423,A1041518,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,11:35:00,PA,,,,2.7,,T18-771423,SURGERY-,,SEP.2018,FY2018
T18-744642,A1041742,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/28/2018,15:40:00,LV,,,,0.8,,T18-744642,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-742892,A0986602,,8/27/2018,52:17.2,,,,1,,,T18-742841,,,AUG.2018,FY2018
T18-757257,A1042376,,9/4/2018,13:59.5,,,,1,,,T18-751674,,,SEP.2018,FY2018
T17-471976,A1014334,,11/14/2017,55:26.9,,,,1,,,T17-471975,,,NOV.2017,FY2018
T18-779945,A1044734,,9/29/2018,27:20.1,,,,1,,,T18-779944,,,SEP.2018,FY2018
T18-770173,A1044122,,9/21/2018,10:19.9,,,,1,,,T18-770167,,,SEP.2018,FY2018
T18-764917,A1036772,,9/17/2018,42:40.2,,,,1,,,T18-764916,,,SEP.2018,FY2018
T18-780481,A1043045,TREATABLE REHABILITABLE CONTAGIOUS,9/30/2018,15:12:00,LR,,,,,,T18-780481,EXAM,,SEP.2018,FY2018
T18-770413,A1042687,,9/21/2018,04:40.2,,,,1,,,T18-770411,,,SEP.2018,FY2018
T18-778025,A1044821,,9/28/2018,09:10.8,,,,1,,,T18-778024,,,SEP.2018,FY2018
T18-776815,A1044768,,9/27/2018,26:47.7,,MICROCHIP (24HR PET WATCH),,,,,T18-776811,,,SEP.2018,FY2018
T18-709350,A1038594,,7/30/2018,51:02.5,,MICROCHIP (HOME AGAIN),,,,,T18-709322,,,JUL.2018,FY2018
T18-777570,A1044820,,9/27/2018,01:05.5,,,,1,,,T18-777559,,,SEP.2018,FY2018
T18-777296,A1044560,,9/27/2018,21:58.6,,,,1,,,T18-777293,,,SEP.2018,FY2018
T18-774924,A1026634,,9/25/2018,46:11.7,,,,1,,,T18-774919,,,SEP.2018,FY2018
T18-761706,A1043325,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/13/2018,17:09:00,LHAYES,,,,49,,T18-761706,INTAKE EXAM,,SEP.2018,FY2018
T18-780054,A1043558,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,9:01:00,LS,,,,,,T18-780054,EXAM,,SEP.2018,FY2018
T18-766063,A1042319,,9/18/2018,44:18.5,,,,14,,,T18-766061,,,SEP.2018,FY2018
T18-761909,A1040042,,9/13/2018,10:17.2,,,,1,,,T18-761908,,,SEP.2018,FY2018
T18-767120,A1043895,UNKNOWN,9/18/2018,23:19:00,,,,,,,T18-767120,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-780130,A1045026,,9/30/2018,14:35.2,,,,1,,,T18-780128,,,SEP.2018,FY2018
T18-776686,A1044291,,9/27/2018,57:37.8,,,,1,,,T18-776682,,,SEP.2018,FY2018
T18-778838,A1032849,TREATABLE REHABILITABLE CONTAGIOUS,9/28/2018,17:20:00,LV,,,,33,,T18-778838,MEDICAL REVIEW,,SEP.2018,FY2018
T18-756774,A1042830,,9/9/2018,09:35.3,,,,1,,,T18-756771,,,SEP.2018,FY2018
T18-779143,A1042786,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,10:58:00,LV,,,,,,T18-779143,EXAM-VISUAL,,SEP.2018,FY2018
T18-771186,A1044246,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/21/2018,19:05:00,LHAYES,,,,0.5,,T18-771186,INTAKE EXAM,,SEP.2018,FY2018
T18-579474,A1024911,,3/25/2018,00:28.5,,,,1,,,T18-579473,,,MAR.2018,FY2018
T18-776650,A1044306,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,9:22:00,OB,,,,,,T18-776650,EXAM-VISUAL,,SEP.2018,FY2018
T18-767064,A1043894,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,21:01:00,MM1748,,,,25,,T18-767064,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-768813,A1044055,,9/20/2018,33:35.5,,HEARTWORM TEST,NEGATIVE,,,,T18-768811,,,SEP.2018,FY2018
T18-771448,A1040494,,9/22/2018,42:49.2,,,,3,,,T18-771445,,,SEP.2018,FY2018
T18-771128,A1042975,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,18:12:00,,,,,,,T18-771128,SURGERY-,,SEP.2018,FY2018
T18-777664,A1044091,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:39:00,LV,,,,,,T18-777664,EXAM-VISUAL,RESPIRATORY,SEP.2018,FY2018
T18-780483,A1043045,,9/30/2018,16:01.5,,,,14,,,T18-780481,,,SEP.2018,FY2018
T18-778929,A1043909,,9/28/2018,24:27.4,,,,1,,,T18-778928,,,SEP.2018,FY2018
T18-699929,A1037740,,7/21/2018,16:56.4,,,,1,,,T18-699925,,,JUL.2018,FY2018
T18-752169,A1035632,,9/5/2018,08:01.9,,,,1,,,T18-752168,,,SEP.2018,FY2018
T18-773813,A1044282,,9/24/2018,13:07.3,,,,1,,,T18-773812,,,SEP.2018,FY2018
T18-761887,A1041358,TREATABLE REHABILITABLE CONTAGIOUS,9/13/2018,17:56:00,CP/PA,,,,,,T18-761887,EXAM,,SEP.2018,FY2018
T18-775712,A1044369,,9/26/2018,18:36.5,,,,3,,,T18-775703,,,SEP.2018,FY2018
T18-778404,A1044673,,9/28/2018,27:25.0,,,,3,,,T18-778398,,,SEP.2018,FY2018
T18-775502,A1044242,,9/26/2018,15:37.4,,,,1,,,T18-775499,,,SEP.2018,FY2018
T18-775884,A1044691,,9/26/2018,30:44.8,,,,1,,,T18-775882,,,SEP.2018,FY2018
T18-780707,A1044171,UNKNOWN,9/30/2018,17:13:00,,,,,,,T18-780707,VET CHECK,,SEP.2018,FY2018
T18-768738,A1043521,,9/20/2018,08:40.0,,,,1,,,T18-768729,,,SEP.2018,FY2018
T18-755304,A1042685,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/7/2018,17:05:00,LV,,,,1.3,101.3,T18-755304,EXAM - ADOPTION,,SEP.2018,FY2018
T18-776323,A1044730,,9/26/2018,16:52.8,,,,1,,,T18-776318,,,SEP.2018,FY2018
T18-741887,A1041516,,8/25/2018,55:59.5,,,,1,,,T18-741885,,,AUG.2018,FY2018
T18-760965,A1041741,,9/12/2018,24:28.5,,,,14,,,T18-759821,,,SEP.2018,FY2018
T18-751443,A1042355,,9/4/2018,06:08.2,,,,1,,,T18-751438,,,SEP.2018,FY2018
T18-777407,A1044834,,9/27/2018,18:10.7,,,,1,,,T18-777402,,,SEP.2018,FY2018
T18-771090,A1044242,,9/21/2018,25:46.4,,,,1,,,T18-771088,,,SEP.2018,FY2018
T18-765736,A1043799,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/17/2018,22:14:00,JM1707,,,,,,T18-765736,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-778304,A1041746,,9/28/2018,58:58.2,,,,1,,,T18-778302,,,SEP.2018,FY2018
T18-779760,A1044975,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,16:28:00,LV,,,,23,,T18-779760,VET CHECK,,SEP.2018,FY2018
T18-770379,A1044140,,9/21/2018,53:36.8,,,,1,,,T18-770378,,,SEP.2018,FY2018
T18-771811,A1039618,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,14:05:00,LV/DT,,,,1.7,,T18-771811,EXAM-VISUAL,,SEP.2018,FY2018
T17-476552,A1014334,,11/20/2017,05:58.4,,,,1,,,T17-476549,,,NOV.2017,FY2018
T18-755084,A1042491,,9/7/2018,25:56.7,,MICROCHIP (HOME AGAIN),,,,,T18-755073,,,SEP.2018,FY2018
T18-775011,A1042899,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,15:36:00,AG,,,,,,T18-775011,EXAM-VET,,SEP.2018,FY2018
T18-776229,A1044722,,9/26/2018,02:36.6,,MICROCHIP (24HR PET WATCH),,,,,T18-776223,,,SEP.2018,FY2018
T18-775855,A1043284,,9/25/2018,17:25.9,,,,2,,,T18-774100,,,SEP.2018,FY2018
T18-773960,A1041321,,9/24/2018,13:26.5,,,,1,,,T18-773956,,,SEP.2018,FY2018
T18-762822,A1041746,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,16:27:00,LS,,,,0.1,,T18-762822,EXAM,,SEP.2018,FY2018
T18-778316,A1044642,,9/28/2018,01:32.5,,,,1,,,T18-778293,,,SEP.2018,FY2018
T18-779892,A1044961,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,17:42:00,NG,,,,8,,T18-779892,EXAM - ADOPTION,,SEP.2018,FY2018
T18-775860,A1044673,,9/26/2018,18:37.3,,,,1,,,T18-775856,,,SEP.2018,FY2018
T18-736273,A1041092,,8/21/2018,16:20.4,,,,3,,,T18-736267,,,AUG.2018,FY2018
T18-766582,A1043825,,9/18/2018,35:42.2,,,,1,,,T18-766579,,,SEP.2018,FY2018
T18-751355,A1042356,,9/4/2018,27:26.6,,HEARTWORM TEST,NEGATIVE,,,,T18-751317,,,SEP.2018,FY2018
T18-763884,A1042902,UNKNOWN,9/15/2018,15:43:00,,,,,,,T18-763884,VET CHECK,,SEP.2018,FY2018
T18-779930,A1045001,,9/29/2018,52:37.9,,,,1,,,T18-779901,,,SEP.2018,FY2018
T18-778416,A1044908,,9/28/2018,34:08.9,,,,1,,,T18-778413,,,SEP.2018,FY2018
T18-777036,A1043194,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,13:00:00,AG2,,,,,,T18-777036,EXAM,,SEP.2018,FY2018
T18-777113,A1041626,,9/27/2018,38:20.6,,,,1,,,T18-777110,,,SEP.2018,FY2018
T18-773599,A1044481,,9/24/2018,12:18.0,,,,1,,,T18-773593,,,SEP.2018,FY2018
T18-777340,A1044826,,9/27/2018,44:14.1,,,,1,,,T18-777338,,,SEP.2018,FY2018
T18-767334,A1042356,,9/19/2018,07:36.8,,,,1,,,T18-767332,,,SEP.2018,FY2018
T18-770415,A1042688,,9/21/2018,05:32.8,,,,1,,,T18-770414,,,SEP.2018,FY2018
T18-765757,A1043798,,9/17/2018,58:39.6,,,,1,,,T18-765755,,,SEP.2018,FY2018
T18-768805,A1043194,,9/20/2018,32:36.1,,,,1,,,T18-768800,,,SEP.2018,FY2018
T18-766861,A1043325,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,16:08:00,PA,,,,50.4,,T18-766861,SURGERY-,,SEP.2018,FY2018
T18-762414,A1043430,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,12:11:00,LV,,,,65,,T18-762414,EXAM - ADOPTION,,SEP.2018,FY2018
T18-750060,A1042211,,9/2/2018,31:38.3,,,,1,,,T18-750058,,,SEP.2018,FY2018
T18-767600,A1043729,,9/19/2018,39:58.3,,,,1,,,T18-767595,,,SEP.2018,FY2018
T18-778836,A1032849,,9/28/2018,23:53.4,,,,14,,,T18-778835,,,SEP.2018,FY2018
T18-751438,A1042355,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/4/2018,14:32:00,LS,,,,5.8,,T18-751438,EXAM-VET,XRAY,SEP.2018,FY2018
T18-763701,A1043521,,9/15/2018,34:06.0,,,,1,,,T18-763697,,,SEP.2018,FY2018
T18-768188,A1043936,,9/19/2018,57:27.1,,,,1,,,T18-768175,,,SEP.2018,FY2018
T18-778954,A1044869,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,1:07:00,JC,,,,38,,T18-778954,INTAKE EXAM,,SEP.2018,FY2018
T18-779851,A1045041,,9/29/2018,13:56.4,,,,1,,,T18-779848,,,SEP.2018,FY2018
T18-759225,A1043018,,9/11/2018,13:58.5,,,,1,,,T18-759224,,,SEP.2018,FY2018
T18-719617,A1038117,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,8/8/2018,10:50:00,OB,,,,,,T18-719617,EXAM-VISUAL,,AUG.2018,FY2018
T18-656536,A1033099,,6/13/2018,38:37.4,,,,1,,,T18-656511,,,JUN.2018,FY2018
T18-752856,A1042474,,9/5/2018,17:57.5,,,,3,,,T18-752849,,,SEP.2018,FY2018
T18-774279,A1042902,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,10:37:00,SR,,,,,,T18-774279,EXAM,,SEP.2018,FY2018
T18-772438,A1044357,,9/23/2018,08:42.7,,,,1,,,T18-772435,,,SEP.2018,FY2018
T18-779699,A1044647,,9/29/2018,06:06.9,,,,14,,,T18-779328,,,SEP.2018,FY2018
T17-460975,A1009144,,11/1/2017,41:46.8,,,,1,,,T17-460970,,,NOV.2017,FY2018
T18-769967,A1044128,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/20/2018,19:00:00,LV,,,,18.8,,T18-769967,EXAM - ADOPTION,,SEP.2018,FY2018
T18-655876,A1032849,,6/13/2018,52:51.3,,,,1,,,T18-655873,,,JUN.2018,FY2018
T18-773192,A1044464,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/24/2018,0:20:00,AT1754,,,,38.2,,T18-773192,INTAKE EXAM,,SEP.2018,FY2018
T18-775528,A1044657,,9/26/2018,24:00.9,,,,1,,,T18-775523,,,SEP.2018,FY2018
T18-778433,A1044528,,9/28/2018,38:15.5,,,,1,,,T18-778431,,,SEP.2018,FY2018
T18-766944,A1042065,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,17:01:00,CP,,,,1.6,,T18-766944,EXAM,,SEP.2018,FY2018
T18-776417,A1012968,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,16:07:00,SR,,,,68,,T18-776417,EXAM-VET,,SEP.2018,FY2018
T18-710526,A1038741,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/31/2018,12:51:00,SR/AG,,,,6.4,,T18-710526,HEALTH MAINTENANCE,,JUL.2018,FY2018
T18-779175,A1041593,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,11:12:00,LV,,,,,,T18-779175,EXAM-VISUAL,,SEP.2018,FY2018
T18-777115,A1041626,,9/27/2018,38:29.3,,MICROCHIP (24HR PET WATCH),,,,,T18-777110,,,SEP.2018,FY2018
T18-772557,A1044282,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,10:54:00,LS,,,,14.6,,T18-772557,EXAM - ADOPTION,,SEP.2018,FY2018
T18-755954,A1039622,,9/8/2018,54:58.7,,,,1,,,T18-755951,,,SEP.2018,FY2018
T18-769751,A1042895,,9/20/2018,45:47.0,,,,1,,,T18-769749,,,SEP.2018,FY2018
T18-626270,A1029973,,5/16/2018,17:23.2,,MICROCHIP (HOME AGAIN),,,,,T18-626266,,,MAY.2018,FY2018
T18-709324,A1038637,,7/30/2018,45:12.3,,,,1,,,T18-709323,,,JUL.2018,FY2018
T18-761465,A1043284,,9/13/2018,07:55.8,,,,1,,,T18-761441,,,SEP.2018,FY2018
T18-758441,A1043008,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/11/2018,10:29:00,SR.ER,,,,37.8,,T18-758441,EXAM - ADOPTION,,SEP.2018,FY2018
T18-768370,A1043994,,9/19/2018,05:46.3,,,,1,,,T18-768036,,,SEP.2018,FY2018
T18-776393,A1044738,,9/26/2018,29:00.6,,,,1,,,T18-776392,,,SEP.2018,FY2018
T18-774216,A1044122,,9/25/2018,14:51.8,,,,3,,,T18-774206,,,SEP.2018,FY2018
T18-736220,A1041091,,8/21/2018,00:45.8,,,,14,,,T18-736216,,,AUG.2018,FY2018
T18-772187,A1044335,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,16:52:00,LV,,,,12.1,,T18-772187,INTAKE EXAM,,SEP.2018,FY2018
T18-654038,A1032954,,6/11/2018,44:27.2,,,,1,,,T18-654033,,,JUN.2018,FY2018
T18-769857,A1044115,,9/20/2018,19:03.9,,,,1,,,T18-769853,,,SEP.2018,FY2018
T18-776404,A1044739,TREATABLE REHABILITABLE CONTAGIOUS,9/26/2018,18:22:00,LV,,,,1.7,,T18-776404,INTAKE EXAM,,SEP.2018,FY2018
T18-690187,A1036772,,7/13/2018,44:30.8,,,,1,,,T18-690184,,,JUL.2018,FY2018
T18-741909,A1041514,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/25/2018,17:54:00,NG,,,,1.2,,T18-741909,INTAKE EXAM,,AUG.2018,FY2018
T18-767464,A1041628,,9/19/2018,50:54.6,,,,1,,,T18-767463,,,SEP.2018,FY2018
T18-755320,A1042687,,9/7/2018,13:16.9,,,,1,,,T18-755319,,,SEP.2018,FY2018
T18-728404,A1040394,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/14/2018,17:50:00,LV,,,,48,,T18-728404,INTAKE EXAM,,AUG.2018,FY2018
T18-771572,A1044276,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:43:00,NG/ER,,,,11,,T18-771572,INTAKE EXAM,,SEP.2018,FY2018
T18-776653,A1044307,,9/27/2018,23:04.9,,,,1,,,T18-776652,,,SEP.2018,FY2018
T18-774882,A1044612,,9/25/2018,28:33.1,,,,1,,,T18-774876,,,SEP.2018,FY2018
T18-778740,A1043325,,9/28/2018,43:59.1,,,,14,,,T18-778733,,,SEP.2018,FY2018
T18-751684,A1039618,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/4/2018,16:27:00,AG,,,,,,T18-751684,MEDICAL REVIEW,,SEP.2018,FY2018
T18-777692,A1044841,,9/27/2018,51:28.8,,,,1,,,T18-777690,,,SEP.2018,FY2018
T18-764596,A1042902,TREATABLE REHABILITABLE CONTAGIOUS,9/16/2018,15:57:00,LR,,,,,,T18-764596,EXAM-VISUAL,,SEP.2018,FY2018
T18-772574,A1044384,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,11:01:00,AG2,,,,36.2,,T18-772574,INTAKE EXAM,,SEP.2018,FY2018
T18-776020,A1044665,,9/26/2018,59:44.1,,,,1,,,T18-776014,,,SEP.2018,FY2018
T18-765899,A1043787,,9/18/2018,26:17.7,,MICROCHIP (24HR PET WATCH),,,,,T18-765888,,,SEP.2018,FY2018
T18-779540,A1045002,,9/29/2018,29:08.1,,,,1,,,T18-779536,,,SEP.2018,FY2018
T18-738679,A1041104,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/23/2018,10:13:00,VL,,,,15.4,,T18-738679,SURGERY-,,AUG.2018,FY2018
T18-779427,A1032573,,9/29/2018,38:28.2,,,,1,,,T18-779416,,,SEP.2018,FY2018
T18-778529,A1044736,,9/28/2018,34:10.2,,,,1,,,T18-778525,,,SEP.2018,FY2018
T18-769529,A1044115,,9/20/2018,30:50.2,,,,1,,,T18-769528,,,SEP.2018,FY2018
T18-779560,A1044999,,9/29/2018,43:28.6,,,,1,,,T18-779558,,,SEP.2018,FY2018
